IsSpam,Text
0,key issues going forwarda year end reviews report needs generating like mid year documenting business unit performance review completion david john work out plan generation for the nim issues employees david john hpl transition issues ongoing officially transferred regardsdelainey
0,california update davis transmission deal essentially deadas reported early the primary sticking point davis deal with was over legal obligation supply california with power given the state net short position this summer result last night ruling the net short position doubles this summer and davis not willing let out these responsibilities the legislature also recently discovered draft the transmission deal that the deal removes the capuc rate setting powers meaning rate hikes are strong possibility according sources the legislature horror this discovery and will absolutely not let this happen davis becoming very unpopular with the legislature they realize the term power contractsthe legislature also growing increasing more angry davis they realize the contracts negotiated with davis will not fully come into affect until additionally many legislatures are discovering they return home that they are losing popularity their districts and are having face angry constituents result davis creditability starting suffer and losing support both democrats and republicans davis warns senior republican leadership not publicly make wavesdavis told senior republican leaders that they start talking the press and pointing fingers davis and his lack solid solutions california problems will drag both pete wilson and the previous administration through the mud the original source the deregulation debacle last ditch efforts could made regarding rate hikes however doesn address past debtdavis could order rate hikes last ditch effort but this action would not address the undercollection issue there still high chance bankruptcy either the larger generators commercial paper holders and less now but still very possible the qfs time running out forbearance period ended march 
0,california executive summary bottom line qfs better off today utilities worse shapeafter passing senate the bill fails technical grounds assemblycal energy ruling provides possible escape for qfs from utility commitmentscalifornia net short gas supply for the summer worsens qfs break contractshedge funds acquiring utility commercial paper further litigation expected bill fails surprise twistab the bill failed the assembly the republicans were opposed because three measures the sdg fix the fix and the fix were all rolled into one bill the senate they want the three measures split concern was raised san diego members regarding those provisions and they wanted see separately the bill form that currently noted yesterday the qfs will now await cpuc ruling tuesday cal energy ruling sets stage for dozens similar suitsthe cpuc ruling now less important because the cal energy ruling yesterday which gave the qfs another tactic escape their commitments the near bankrupt utilities cal energy reportedly would have filed involuntary bankruptcy tomorrow friday had they not won their law suit dozens not hundreds suits identical that filed calenergy can now expected from the other qfs the qfs reportedly see themselves free from the utilities now and want sell direct into the merchant market possibly out state they also want avoid any deal whereby the state would force them supply power stage stage alert and will contest any such measure with the ferc summer outlook worsensthe outlook for the summer now appears much grimmer for the state the gas fired qfs alone manage extricate themselves from their contracts with the utilities the state will net short for the summer rather than this much larger net short position fill and will much harder for state treasurer angelides sell wall street all the qfs break their contracts the state will short essentially the qfs are successful court appears they would they are longer part the pool low fixed rate power that the state can count the onus now appears treasurer angelides come with rate schedule the qfs may him and ask for the state act forward cover for their gas contracts the state would course charge for this privilege and negotiate more flexible rate structure pressure mounts utilitiesnone this helps the utilities situation fact now that the qfs have way out their contracts through the courts appears that the business base the utilities reduced they are actually worse situation reportedly some the utilities commercial paper now has been sold hedge funds one source put the vultures have moved these are the types people who litigate 
0, fix bill fails may taken againabx the emergency bill establishing failed passage the assembly party line vote yesterday evening the assembly may meet tomorrow take the bill again 
0, out interestthis more than you ever wanted know about catalytica there any point regurgitating that point would that this deal didn make dime for enron got gift would see million from enron and catalytica got off scot free the december dash summarized the eight agreements associated with the transactions permit the following sale and repurchase the spark spread option funding xonon development amount equal the proceeds the option sale funding the turbine prepayment the pastoria project with the same option sale proceeds obtaining the right first refusal the first five commercial fas equipped with xonon and purchase the turbines off balance sheet basis enhancing the value the equity investment catalytica was mentioned strategic benefit and potential upside turbine overpricing was not mentioned the dash the risk matrix when dave added his comments the may dash understood that the million cost was intended offset million turbine credits doing allocation the cost seemed logically mean allocation the credits once they were recognised outside the slim chance that something blew the allocated cost would offset with subsequently allocated credit wash from ena perspective the issue moot the decision allocate portion the turbine overpricing the merchant portfolio but none the credits that clearly was not accounted for and certainly was not provided for the merchant asset management plan forwarded richard lydecker corp enron richard lydecker amto christopher calger pdx ect ectcc subject out interestchris thanks for the clarification pat did confirm with sheila that the turbines were overpriced which seems mean that enron ended giving gift million that seems strange also still seems that the december dash did not accurately reflect the deal unless missed did not find any reference turbine overpricing understanding dave comment the may dash was account for the acceleration period between may and september and the risk that the pastoria project would cancelled and the technology development fail that period may ena gave the opportunity stick catalytica with credits payment for the repurchase the sso rather than cash either these events occured before september and thereby lost the optionality the four months the may transaction did not change the economics the deal any other way than this acceleration the comment was intended allocate the turbine overpricing which was part the original transaction agree with you that this should have been handled that time concern has been that enron retain the benefit the credits referenced the xtia which apparently has occurred however the fact apparently that the credits had been rendered valueless from the start the turbine overpricing framework had been that long enron received the credits some form the may transaction was wash far was concerned dick christopher calger ect pmto richard lydecker corp enron enroncc subject out interestdick sounds though this caught you surprise sorry for that your chronology seems correct this thing makes head hurt every time brought believe the obligation was incurred dec but not properly recognized accounted for until the may dash delainey hand written note was the end result people dissecting the deals with the realization that the west power turbines were overpriced the and the catalytica equity account did not properly account for that dec the turbine contract refers credit but the gross turbine price was increased twice that amount that the net increase was ena agreed because piper wanted help catalytica despite much protest from dave parquet agreed with delainey and ray bowen that west power would the hook for the because the project got some benefit from catalytica delainey wanted the payment triggered sale pastoria because did not want group recognize any income until the project closed this was communicated and acknowledged accounting and reminded them every month two since mid year understand pat called sheila tweed dont think she anyone remembers the details but she should able validate the point about turbine overpricing and the delainey fix may regards chrisrichard lydecker enron pmto christopher calger pdx ect ectcc subject out interestchris couldn agree more about the confusing history the catalytica xtia and spark spread derivative transactions understanding slightly different from what you outline but you may have better sources neither were present the creation familiar with dave delainey hand written note the may dash that dash authorised accelerating repurchase the sso three months view that dave could allocate within ena his discretion did not understand the rationale however since was the december dash which established the obligation for enron fund the million all the may dash did was unwind financing arrangement three months early did not have anything with the incurrence the obligation itself the objective the complex series agreements was for enron finance development the xonon technology and return receive credits turbine purchases either pastoria for other xonon equiped turbines pastoria were cancelled original deal catalytica agreed purchase spark spread option sso from enron for million payable four instalments these instalments exactly matched the funding obligation under the xtia catalytica actually paid enron million which represented the first two instalments west made million milestone payments the enron west arrangement was off balance sheet financing deal the end the day enron was paying september enron was obligated repurchase the sso from catalytica for the amount catalytica had paid enron for turbine credits pastoria were cancelled may sso repurchase enron bought back the sso from catalytica for million the three month acceleration repurchase was supposed facilitate ipo did not impact all enron ultimate obligation which had always been for the full million catalytica was now out the chain and had further payment obligations credit entitlements december final milestone payment enron has paid million through the west financing arrangement now turbo park uncertain whether increased the price the pastoria turbines million part these transactions understanding was that there was concern about this when the turbine contract was negotiated but had thought this concern was guarded against contract negotiation with fact did increase the cost the pastoria turbines million the entire purpose and benefit enron from these incredibly complex and non intuitive documents was totally obviated net net enron would have paid develop technology application with compensatory value why enron would have done this kind deal don know not sure what internal income transfer would apply understand that has applied the million credit against progress payment billing late last year wouldn this mean that the full credit was taken pastoria unclear why the sale pastoria should trigger anything the end the day ena did the deal and how account for the consequences now irrelevant the turbines were overpriced the december dash seems misleading not disclosing that fact when approval was requested the dash actually states that the million would serve down payment for the pastoria turbine package summary may not correct but this the best have been able piece together what happened dick forwarded richard lydecker corp enron louise kitchen ect pmto richard lydecker corp enron enroncc subject out interest forwarded louise kitchen hou ect christopher calger pmto louise kitchen hou ect ectcc subject out interestcalpine reduced their purchase price because the turbine contract for pastoria was overpriced the amount the catalytica credit brief confusing history understand ena east and west jointly owned the catalytica equity account was written based expectations ipo value transferred west power because catalytica entered into agreement with pastoria provide the project with its zonon technology this agreement included commitment from research work order use the catalytica technology turbines the cost this was added the pastoria turbine contract feb when arrived portland had the catalytica account transferred the portfolio because thought was overvalued with little synergies with ena west power mid the agreement was restructured order clean catalytica could ipo that time enron was credited back the from catalytica and was decided delainey that that amount should split pastoria and catalytica equity with the going ena west power upon the sale pastoria pastoria did not get the full back because benefited somewhat from favourable publicity and some interest savings this time since there funds transfer believe simply becomes internal income transfer from the merchant portfolio ena west power louise kitchen amto christopher calger pdx ect ectcc subject out interestwhat happens under the pastoria deal the catalytica credit did calpine are you using the other turbine purchases 
0, pierceozzie follow our phone conversation how about scheduling the pierce project review meeting during the second week april the objective the meeting look the technical risk the deal and the mitigation measures taking the intended outcome ensure all related enron entities are supportive the transaction and have had the opportunity ask questions this will reduce the chance that will run into objections down the road technical risks begin ramp our capital commitments had similar meeting with the electrobolt team enron america that was very productive and accomplished the above objectives you have project presentation that you and the lead developer could discuss with the above team many the technical risk issues are also tied commercial aspects the deal should also cover these areas well commercial objectives and obligations driving the technical design and implementation strategy one the key aspects the project discuss the schedule risk and our strategy for securing capable construction contractor for the job let know your availability and who else you think should attend the meeting thanks brian
0, turbine position reportplease call chip schneider kevin jolly you have any questions 
0,dash for potential deal with nstarall some you may aware appear getting close entering transaction with nstar serve its all requirements power needs for its residential and commercial customer class default service obligations the deal would for term months commencing july nstar service territory covers boston and surrounds well south eastern massachusetts this prospective deal very similar nature the standard offer service deals have entered into with united illuminating nstar and most recently central maine power here the status this point nstar achieved various levels signoff for the basic deal structure both with regulators and internal senior management nstar has indicated that has basically come down price and they could potentially pull the trigger early monday but certainly within couple days the most nstar has requested updated pricing eastern monday held firm through cob same day contingent upon execution definitive agreements that time they are seeking pricing updates from competing suppliers are not exclusive this point nstar enron have worked through our extensive markups their proposed contract and have compiled list outstanding contract issues note marcus nettelton has been leading our legal efforts this deal and can reached discuss contract issues while the number outstanding contract items are numerous this point sense that there are real deal breakers either their end ours fact they have agreed many the open issues our previous contract with them for standard offer service they could potentially agree our terms without much delay thereby potentially making execution monday possibility attached draft dash for this deal request that you review promptly with goal have each your signoffs for this deal principle mid afternoon monday enable transact monday necessary the parameters that are still motion are price again updated monday morning but will maintain same npv value term they may end just going for months and exact volume they source from for volume they indicated they may want with for something less than their requirements for the first months they estimate anywhere between and then potentially smaller percentage for the second months they end doing month deal please feel free call office home over the weekend you would like discuss more detail berney aucoin structuring will point run internal traps monday may necessary thanks advance regardsjohn
0,eol fyi forwarded janet dietrich hou ees don black amto janet dietrichcc charles decker hou ees ees erika breen hou ees eessubject eol this will frequent report until get all the quotes and running most cases the missing quotes were quickly available through direct phone call left mesage with presto and responded via message last night saying would investigate the ercot but that fletch was overwhelmed the cin and comed would talk the team and discuss the reasonableness the deliverables came the conclusion that they definately need more traders across the board keep the backs and offpeaks fresh but they not have them now will continue monitor the progress forwarded don black hou ees erika breen amto don black hou ees ees charles decker hou ees eescc subject eol these products are not eol today cinergy comed offpeakercot peak offpeaknepool peak offpeakpjm west hub peak offpeaknya nyg peak offpeaknyj peak offpeak
0,cinergy closing press releaseattached the press release announcing the completion cinergy acquisition enron brownsville and caledonia generating facilities basically just reiteration the press release issued december announcing the acquisition the release has been approved enron corp and and will issued this afternoon please call with any questions thanks jennifer walkerena public relations 
